reviews,n_course_id
I did not find this course helpful. The assignments seem to ask for more info that you've been taught in any of the videos. My analogy for the course is this: It's like making a newborn baby watch a video on swimming and then throwing it into the ocean and acting shocked when it doesn't know how to swim. The mentors in the discussion forum are condescending and do not help when you don't understand the terms they are using. I would not recommend this course for beginners.,8
"I got a 95% and maybe I learned something but I can honestly say it wasn't because I watched the videos - the professor is seriously disconnected. Programming for ""Everybody""? I know what I want to do with programming, but all the examples and small programs you write in this course give you no idea of what of someone outside science and math will ever use programming for. ",8
"Two weeks of all sort of nonsense, including macarena, Harry Potter, sorting hat, videos of meaningless travels and lots of self-promotion. Pure crap that doesn´t worth anybody´s time. When theory started on week 3 it was confusing, boring and as time is life I decided to quit.  It shocked me that a serious university like University of Michigan has a clown on its payroll.",8
We tried to use this class to teach a brown bag lunch for our employees interested in programming.  Python is a great language but this class has a very low content to volume ratio (nobody wants to watch the instructor meet his life-time idol at a trade-show or watch the Intel versus AMD melt-down commercials over their lunch break).,8
"To be honest, I thought the course stumbled and fell short.  It was too basic and slow paced.  The tone was a bit immature at times, and perhaps appropriate only for a grade school level classroom--not something for working professionals.  And it's certainly not mature enough or challenging enough for a university class.  Even if the goal were to teach those with no programming experience, it could accomplish that  while providing more content, and making the content relevant. Is the course worth the price?  Hell no.  If you do pay, you may feel very cheated at the end.  The entire course can be reduced to 3 pages of notes.  One would be better off checking into other free, online tutorials.    I'm not sure about the value of the videos titled ""Office Hours.""  They all appeared as self-promotional behavior from the professor, as if to say, ""hey look how great I am making this video in Paris.""  They're really nothing more than that.  In one video, he corners a guest speaker at a conference, who appears annoyed after a few minutes and gives the professor a polite brush-off:  ""other people here would like to talk with me too.""  After all of these videos, you will ask yourself, ""okay, why did Severance make me watch that?""  ""What was the point?""  And you'll shrug your shoulders and say, ""another waste of time.""",8
"Most vague info, assignments don't even have  anything to do  with the videos, and the videos are not helpful because they don't give any examples. Terrible, and extremely hard. I do not recommend this course to beginners, or to anyone for that fact. ",8
"I am very disappointed with this programming course. The course lacks detail and deepth and could be taught in 45 to 60 minutes instead of 7 weeks. The quizzes and assignments were to easy and basic (solved in less than 5 minutes) and definitely not enough. Annoying was the overuse of colours in almost every video (almost everything was coloured - highlighting everything is just as usefull as highlighting nothing, green box with white text inside - did you try to read that on a different monitor than yours?), the pointless and useless doodles, smilies and whatsoever, wasting my time by watching you dispose your teabag/drinking tea or coffee/talking about your mug/etc., why do you even need to drink in a 20 minute-or-less video. The Tutor tried to loosen a dry topic. Mostly it wasn't my humor but I can live with that. I had hoped for more :(",8
This course has been dumbed down so much that no moderately intelligent person should be subjected to it.  Coursera really needs to rethink its approach to teaching.  I can only express my sympathy for those were seduced into actually paying for this course.,8
This Course is bad! I try to ask for help and then mentors only reply with I cant help you because of the Honor code. Well tat doesn't sound like much of an honor code to me. Of course I am doing my own work duh! I just need help. Dont we all need help from time to time. I think Coursera needs a lot of improvement. I am extremely dissatisfied with Coursera and this course but especially the mentors and their lack of mentoring. Education should be uplifting and positive and an area where individuals can ask question and receive help and not be scolded for asking help or asking questions like a beat down dog. I mean really I think Coursera needs to go take some hints from a real school or university and seek information on education and how it is best when students teach each other and If I can ask for help and learn from others and give then the opportunity to help me that whats the point of a discussion board. Do away with the discussion board or change the way the honor code is written. Yes I agree with Honor and doing your own work but come on. Help and tutoring is a valuable part of education and necessary to learning! Please make the necessary changes to better Coursera and make it a more positive educational experience. I mean please I am trying the best I can with what I have got and no one seems to want to help me learn and improve on my skills and my understanding. Make changes and make them now.Another reason I hate this course Is that Coursera does not believe in people helping one another. Then the mentors cant even explain how to work through the problem. The menotrs make things more stressful than they need to be because the dont give help or hints or clues. People need to talk to people on the phone or in person or the instructor needs to give better examples so people can better figure things out on their own. I just think Coursera is crap and this has been a very unpleaseant experience for me. Then on the discussing board i see others struggling with the same things and the mentos dont help them. People are pleading for help and not receiving any guidance or direction to help them figure things out. Things need to change with this program. They need to change soon!,8
" If I were to compare the quality of this class to something I would say that this class is like a Chess class that spends 30 minutes explaining how pawns work and then asks you to move Knight to C3. ""Wait, what piece is the Knight? How does the Knight move again? What's C3? Help!""  That's basically what you will get out of this course.This class is not a good choice for someone starting from the ground up. It's no so much that it doesn't cover entry-level concepts, rather it fails to elaborate on these concepts. The feedback from the quizzes doesn't point you in the direction where you can learn from your mistakes.Likewise the assignments are often two steps ahead of the video, meaning that when error messages pop up in the auto-grader there is no way to figure out where you can learn what you did wrong. the videos will cover steps a, b, and c but the assignments expect you to know steps d, e, and f. This leaves students to discuss the answers in the forums or on other sites which I understand is frowned upon. However for ""green as grass"" students this is the only way to get anything done. And when students try to explain how the code actually works to each other their threads get locked down, only cryptic and vague responses to issues will remain.  That is abysmal.When I seem to get more help from other students in the comments than from the moderators in the forum, that is an issue. And lets talk about the moderator, there is only one. One for how many students? One for how many questions? Even if there was just 5 more people answering in the forums it would greatly improve the quality of this class. And those moderators should do more than just refer students back to the book which often provides insufficient information to tackle a problem. This class needs to be reviewed extensively.  I wouldn't recommend this course to anyone fresh that wants to try to learn code. ",8
"i feel this isn't a course for beginners it should be for intermediates as i found the exercises very hard and moreover the instructor teaches basic stuff and the graded assignments are tough before some assignments he doesn't even discusses those type of problems. All i'm saying is anybody taking this course as a beginner without any prior knowledge in programming ,he/she would be discouraged.",8
"Very simple, very slow. For someone with programming experience it is a drug, for someone new to programing (I am thinking my son) not very captivating. ",8
"Too easy of a course, completed in a day without much effort... And didn't really get as much out of it as I thought I would.",8
It does not worth a penny to spend time in this course. ,8
Time wasting & rubish,8
